faculty,faculty_group
Faculty of Architecture,Architecture and Built Environment
"Faculty of Architecture, Building and Planning",Architecture and Built Environment
Faculty of Arts,"Arts, Humanities and Culture"
Faculty of Business and Economics,"Business, Economics and Management"
Faculty of Dentistry,Medicine and Health
Faculty of Education,Education
Faculty of Engineering,"Engineering, Computing and Technology"
Faculty of Law,Law
"Faculty of Medicine, Dentistry and Health Sciences",Medicine and Health
Faculty of Science,Science
Faculty of Social Sciences,"Social Sciences and Public Policy"
HKU Business School,"Business, Economics and Management"
Li Ka Shing Faculty of Medicine,Medicine and Health
School of Biomedical Engineering,"Engineering, Computing and Technology"
School of Computing and Data Science,"Engineering, Computing and Technology"
School of Future Media,"Media, Design and Creative Technology"
School of Innovation,Innovation and Interdisciplinary
College of Humanities and Sciences,Science
College of Design and Engineering,"Engineering, Computing and Technology"
School of Computing,"Engineering, Computing and Technology"
NUS Business School,"Business, Economics and Management"
Yong Loo Lin School of Medicine,Medicine and Health
Yong Siew Toh Conservatory of Music,"Arts, Humanities and Culture"
Alice Lee Centre for Nursing Studies,Medicine and Health
NUS Pharmacy and Pharmaceutical Sciences,Medicine and Health